file,start_time,axis,rms,std,peak_to_peak,time_skew,time_kurtosis,band_energy_ratio,dominant_freq,spectral_centroid,peak_count,spectral_kurtosis,cluster,key,chatter_label
4mm550_cleaned.csv,0.0,X,0.09945272157303289,0.0994520174966261,0.5776097835545121,-0.03035893393978754,-0.1941249020455902,0.9759743589873432,128.0,112.31659109565517,35,20.02032068219978,1,4mm550_cleaned.csv_0.0_X,1
4mm550_cleaned.csv,0.0,Y,0.13801094305442127,0.13801083921152663,0.8229745675301946,-0.04814068596876971,0.33144664594905215,0.853921398389274,202.0,137.66574924204417,56,1.5413593129918297,1,4mm550_cleaned.csv_0.0_Y,1
4mm550_cleaned.csv,0.0,Z,0.07073885917974136,0.07073885534047623,0.38840383212446383,-0.005374342674849565,-0.25877288449645874,0.9789531108395709,100.0,119.04564062366066,51,8.203122459305055,1,4mm550_cleaned.csv_0.0_Z,1
4mm550_cleaned.csv,0.999747239,X,0.09539767585292781,0.09539766019620424,0.5436075594553493,-0.03996639734256253,-0.22844570761613792,0.9869267809920913,117.0,112.51017995279494,36,9.531910085422487,1,4mm550_cleaned.csv_0.999747239_X,1
4mm550_cleaned.csv,0.999747239,Y,0.13558461341286238,0.13558455969271827,0.7557059705235578,-0.06655032660907768,-0.11125686294501191,0.9441738294170471,158.0,138.3226789329396,45,4.111524349394711,1,4mm550_cleaned.csv_0.999747239_Y,1
4mm550_cleaned.csv,0.999747239,Z,0.06441418089861878,0.06441416112346991,0.41043524475935367,0.16525172095931306,0.2305341335588813,0.9847131092671684,101.0,118.85958765514305,50,5.2838483002225285,1,4mm550_cleaned.csv_0.999747239_Z,1
4mm550_cleaned.csv,1.999495521,X,0.09021606037519266,0.09021604597386888,0.5866947590579107,0.13500074991336672,0.35332567018484085,0.9819391706681372,128.0,111.66589311575588,49,8.241307647158802,1,4mm550_cleaned.csv_1.999495521_X,1
4mm550_cleaned.csv,1.999495521,Y,0.13526785379569795,0.13526781125891674,0.8463625401760554,-0.174372840404185,-0.04958006169823337,0.9730056123506167,147.0,138.04273596013246,55,0.6263903928307091,1,4mm550_cleaned.csv_1.999495521_Y,1
4mm550_cleaned.csv,1.999495521,Z,0.06868192822046479,0.06868192708863177,0.4499659293174963,-0.02884281658393153,-0.111038601485963,0.9885598633232622,100.0,119.83962060837854,49,6.242785833791654,1,4mm550_cleaned.csv_1.999495521_Z,1
4mm550_cleaned.csv,2.999244739,X,0.10135042055744031,0.10135024114171365,0.6511111625027106,-0.07442461175633289,0.1452295127265919,0.9886834617100234,110.0,113.39528095788772,41,11.834459963490293,1,4mm550_cleaned.csv_2.999244739_X,1
4mm550_cleaned.csv,2.999244739,Y,0.14467564929002066,0.14467520032073136,0.7798145977889438,-0.12865172380102832,0.019630268643098248,0.9335921510639812,154.0,140.03484119172862,50,1.2774412796352452,1,4mm550_cleaned.csv_2.999244739_Y,1
4mm550_cleaned.csv,2.999244739,Z,0.06965854253432158,0.06965850535584282,0.43367451255936895,-0.18887222496627556,-0.09398223277887752,0.9864705813455507,101.0,122.26829870852924,50,4.350800334515095,1,4mm550_cleaned.csv_2.999244739_Z,1
4mm550_cleaned.csv,3.998994271,X,0.09506637138499398,0.09506634641466792,0.4847908215223542,-0.12477379809135086,-0.36845586374517136,0.9824367631047021,111.0,112.97385681060739,43,6.170683561376666,1,4mm550_cleaned.csv_3.998994271_X,1
4mm550_cleaned.csv,3.998994271,Y,0.14768491513638618,0.1476847192586148,0.9230596383440917,-0.1561097234295979,-0.1195488811914105,0.9327464390912076,169.0,137.10577562011053,49,2.739631233359696,1,4mm550_cleaned.csv_3.998994271_Y,1
4mm550_cleaned.csv,3.998994271,Z,0.06880452799839225,0.06880449579997329,0.3860276195151292,-0.03040154806449971,-0.11925579239234274,0.9865079015134665,92.0,121.03640094019482,52,3.2065567702341653,1,4mm550_cleaned.csv_3.998994271_Z,1
4mm550_cleaned.csv,4.998743698,X,0.10770687231412804,0.1077067683877917,0.6374059247535178,-0.04294477839895457,-0.30070301062494353,0.9890317871318169,111.0,111.97459215878452,30,19.20927402313364,1,4mm550_cleaned.csv_4.998743698_X,1
4mm550_cleaned.csv,4.998743698,Y,0.14540631852651137,0.1454058803561607,0.9080695578817938,-0.05380373436468208,-0.08410041762374698,0.9548538585458357,152.0,135.64922135736833,55,3.5771515336193147,1,4mm550_cleaned.csv_4.998743698_Y,1
4mm550_cleaned.csv,4.998743698,Z,0.0714701878738136,0.07146959920895081,0.3996552968068876,-0.2239343076527171,-0.1204126950791733,0.9841566665818597,100.0,120.48174917152983,50,14.819167493548171,1,4mm550_cleaned.csv_4.998743698_Z,1
4mm550_cleaned.csv,5.998492864,X,0.09904306854003986,0.09904133272249008,0.5519463075600641,0.022926161262354208,-0.0066806319694041605,0.9767808701655941,111.0,110.47344606433835,34,24.154329011385503,1,4mm550_cleaned.csv_5.998492864_X,1
4mm550_cleaned.csv,5.998492864,Y,0.14784987254095744,0.14784906923880275,0.8342386020919316,-0.05101462146189358,-0.1244179510451966,0.9462450887586488,152.0,135.78008017168187,38,10.523414019507968,1,4mm550_cleaned.csv_5.998492864_Y,1
4mm550_cleaned.csv,5.998492864,Z,0.06929363394481071,0.06929221953355937,0.454132869732458,0.09932004687995448,0.15047135592289607,0.9783787501093348,101.0,116.6707190833082,56,5.806758626620963,1,4mm550_cleaned.csv_5.998492864_Z,1
